Id,Name and Surname,Beginning year,Played until,Birthday,html
28,Jeff Adrien,2011,2015,"February 10, 1986",/players/a/adrieje01.html
29,Arron Afflalo,2008,2018,"October 15, 1985",/players/a/afflaar01.html
30,Ochai Agbaji,2023,2023,"April 20, 2000",/players/a/agbajoc01.html
31,Maurice Ager,2007,2011,"February 9, 1984",/players/a/agerma01.html
32,Mark Aguirre,1982,1994,"December 10, 1959",/players/a/aguirma01.html
33,Blake Ahearn,2008,2012,"May 27, 1984",/players/a/ahearbl01.html
34,Danny Ainge,1982,1995,"March 17, 1959",/players/a/aingeda01.html
35,Matt Aitch,1968,1968,"September 21, 1944",/players/a/aitchma01.html
36,Alexis Ajinça,2009,2017,"May 6, 1988",/players/a/ajincal01.html
37,Henry Akin,1967,1969,"July 31, 1944",/players/a/akinhe01.html
38,Josh Akognon,2013,2013,"February 10, 1986",/players/a/akognjo01.html
39,DeVaughn Akoon-Purcell,2019,2019,"June 5, 1993",/players/a/akoonde01.html
40,Solomon Alabi,2011,2012,"March 21, 1988",/players/a/alabiso01.html
41,Mark Alarie,1987,1991,"December 11, 1963",/players/a/alarima01.html
42,Gary Alcorn,1960,1961,"October 8, 1936",/players/a/alcorga01.html
43,Santi Aldama,2022,2023,"January 10, 2001",/players/a/aldamsa01.html
44,Furkan Aldemir,2015,2015,"August 9, 1991",/players/a/aldemfu01.html
45,Cole Aldrich,2011,2018,"October 31, 1988",/players/a/aldrico01.html
46,LaMarcus Aldridge,2007,2022,"July 19, 1985",/players/a/aldrila01.html
47,Chuck Aleksinas,1985,1985,"February 26, 1959",/players/a/aleksch01.html
48,Cliff Alexander,2016,2016,"November 16, 1995",/players/a/alexacl01.html
49,Cory Alexander,1996,2005,"June 22, 1973",/players/a/alexaco01.html
50,Courtney Alexander,2001,2003,"April 27, 1977",/players/a/alexaco02.html
51,Gary Alexander,1994,1994,"November 1, 1969",/players/a/alexaga01.html
52,Joe Alexander,2009,2010,"December 26, 1986",/players/a/alexajo01.html
53,Kyle Alexander,2020,2020,"October 21, 1996",/players/a/alexaky01.html
54,Ty-Shon Alexander,2021,2021,"July 16, 1998",/players/a/alexaty01.html
55,Victor Alexander,1992,2002,"August 31, 1969",/players/a/alexavi01.html
56,Nickeil Alexander-Walker,2020,2023,"September 2, 1998",/players/a/alexani01.html
57,Steve Alford,1988,1991,"November 23, 1964",/players/a/alforst01.html
58,Rawle Alkins,2019,2019,"October 29, 1997",/players/a/alkinra01.html
59,Bill Allen,1968,1968,,/players/a/allenbi01.html
60,Bob Allen,1969,1969,"July 17, 1946",/players/a/allenbo01.html
61,Grayson Allen,2019,2023,"October 8, 1995",/players/a/allengr01.html
62,Jarrett Allen,2018,2023,"April 21, 1998",/players/a/allenja01.html
63,Jerome Allen,1996,1997,"January 28, 1973",/players/a/allenje01.html
64,Kadeem Allen,2018,2020,"January 15, 1993",/players/a/allenka01.html
65,Lavoy Allen,2012,2017,"February 4, 1989",/players/a/allenla01.html
66,Lucius Allen,1970,1979,"September 26, 1947",/players/a/allenlu01.html
67,Malik Allen,2002,2011,"June 27, 1978",/players/a/allenma01.html
68,Randy Allen,1989,1990,"January 26, 1965",/players/a/allenra01.html
69,Ray Allen*,1997,2014,"July 20, 1975",/players/a/allenra02.html
70,Tony Allen,2005,2018,"January 11, 1982",/players/a/allento01.html
71,Willie Allen,1972,1972,"February 8, 1949",/players/a/allenwi01.html
72,Odis Allison,1972,1972,"October 2, 1949",/players/a/allisod01.html
73,Lance Allred,2008,2008,"February 2, 1981",/players/a/allrela01.html
74,Darrell Allums,1981,1981,"September 12, 1958",/players/a/allumda01.html
75,Morris Almond,2008,2012,"February 2, 1985",/players/a/almonmo01.html
76,Derrick Alston,1995,1997,"August 20, 1972",/players/a/alstode01.html
77,Rafer Alston,2000,2010,"July 24, 1976",/players/a/alstora01.html
78,Peter Aluma,1999,1999,"April 23, 1973",/players/a/alumape01.html
79,Jose Alvarado,2022,2023,"April 12, 1998",/players/a/alvarjo01.html
80,John Amaechi,1996,2003,"November 26, 1970",/players/a/amaecjo01.html
81,Ashraf Amaya,1996,1997,"November 23, 1971",/players/a/amayaas01.html
82,Al-Farouq Aminu,2011,2021,"September 21, 1990",/players/a/aminual01.html
83,Lou Amundson,2007,2016,"December 7, 1982",/players/a/amundlo01.html
84,Bob Anderegg,1960,1960,"August 24, 1937",/players/a/anderbo01.html
85,Chris Andersen,2002,2017,"July 7, 1978",/players/a/anderch01.html
86,David Andersen,2010,2011,"June 23, 1980",/players/a/anderda03.html
87,Alan Anderson,2006,2017,"October 16, 1982",/players/a/anderal01.html
88,Andy Anderson,1968,1970,"July 6, 1945",/players/a/anderan01.html
89,Antonio Anderson,2010,2010,"June 5, 1985",/players/a/anderan02.html
90,Cliff Anderson,1968,1971,"September 7, 1944",/players/a/andercl01.html
91,Dan Anderson,1968,1969,"February 15, 1943",/players/a/anderda01.html
92,Dan Anderson,1975,1976,"January 1, 1951",/players/a/anderda02.html
93,Derek Anderson,1998,2008,"July 18, 1974",/players/a/anderde01.html
94,Dwight Anderson,1983,1983,"December 28, 1960",/players/a/anderdw01.html
95,Eric Anderson,1993,1994,"May 26, 1970",/players/a/anderer01.html
96,Greg Anderson,1988,1998,"June 22, 1964",/players/a/andergr01.html
97,J.J. Anderson,1983,1985,"September 23, 1960",/players/a/anderjj01.html
98,James Anderson,2011,2016,"March 25, 1989",/players/a/anderja01.html
99,Jerome Anderson,1976,1977,"October 9, 1953",/players/a/anderje01.html
100,Justin Anderson,2016,2022,"November 19, 1993",/players/a/anderju01.html
101,Kenny Anderson,1992,2005,"October 9, 1970",/players/a/anderke01.html
102,Kim Anderson,1979,1979,"May 12, 1955",/players/a/anderki01.html
103,Kyle Anderson,2015,2023,"September 20, 1993",/players/a/anderky01.html
104,Michael Anderson,1989,1989,"March 23, 1966",/players/a/andermi01.html
105,Nick Anderson,1990,2002,"January 20, 1968",/players/a/anderni01.html
106,Richard Anderson,1983,1990,"November 19, 1960",/players/a/anderri01.html
107,Ron Anderson,1985,1994,"October 15, 1958",/players/a/anderro01.html
108,Ryan Anderson,2009,2020,"May 6, 1988",/players/a/anderry01.html
109,Shandon Anderson,1997,2006,"December 31, 1973",/players/a/andersh01.html
110,Willie Anderson,1989,1997,"January 8, 1967",/players/a/anderwi01.html
111,Wally Anderzunas,1970,1970,"January 11, 1946",/players/a/anderwa01.html
112,Martynas Andriuškevičius,2006,2006,"March 12, 1986",/players/a/andrima01.html
113,Don Anielak,1955,1955,"November 1, 1930",/players/a/anieldo01.html
114,Ike Anigbogu,2018,2019,"October 17, 1998",/players/a/anigbik01.html
115,Michael Ansley,1990,1992,"February 8, 1967",/players/a/anslemi01.html
116,Chris Anstey,1998,2000,"January 1, 1975",/players/a/anstech01.html
117,Giannis Antetokounmpo,2014,2023,"December 6, 1994",/players/a/antetgi01.html
118,Kostas Antetokounmpo,2019,2021,"November 20, 1997",/players/a/antetko01.html
119,Thanasis Antetokounmpo,2016,2023,"July 18, 1992",/players/a/antetth01.html
120,Carmelo Anthony,2004,2022,"May 29, 1984",/players/a/anthoca01.html
121,Cole Anthony,2021,2023,"May 15, 2000",/players/a/anthoco01.html
122,Greg Anthony,1992,2002,"November 15, 1967",/players/a/anthogr01.html
123,Joel Anthony,2008,2017,"August 9, 1982",/players/a/anthojo01.html
124,Pero Antić,2014,2015,"July 29, 1982",/players/a/anticpe01.html
125,OG Anunoby,2018,2023,"July 17, 1997",/players/a/anunoog01.html
126,Keith Appling,2016,2016,"February 13, 1992",/players/a/applike01.html
127,Rafael Araújo,2005,2007,"August 12, 1980",/players/a/araujra01.html
128,Stacey Arceneaux,1962,1962,"February 17, 1936",/players/a/arcenst01.html
129,Robert Archibald,2003,2004,"March 29, 1980",/players/a/archiro01.html
130,Tiny Archibald*,1971,1984,"September 2, 1948",/players/a/architi01.html
131,Ryan Arcidiacono,2018,2023,"March 26, 1994",/players/a/arcidry01.html
132,Jim Ard,1971,1978,"September 19, 1948",/players/a/ardji01.html
133,Gilbert Arenas,2002,2012,"January 6, 1982",/players/a/arenagi01.html
134,Trevor Ariza,2005,2022,"June 30, 1985",/players/a/arizatr01.html
135,Paul Arizin*,1951,1962,"April 9, 1928",/players/a/arizipa01.html
136,Joe Arlauckas,1988,1988,"July 20, 1965",/players/a/arlaujo01.html
137,B.J. Armstrong,1990,2000,"September 9, 1967",/players/a/armstbj01.html
138,Bob Armstrong,1957,1957,"June 17, 1933",/players/a/armstbo01.html
139,Brandon Armstrong,2002,2004,"June 16, 1980",/players/a/armstbr01.html
140,Curly Armstrong,1949,1951,"November 1, 1918",/players/a/armstcu01.html
141,Darrell Armstrong,1995,2008,"June 22, 1968",/players/a/armstda01.html
142,Hilton Armstrong,2007,2014,"November 11, 1984",/players/a/armsthi01.html
143,Tate Armstrong,1978,1979,"October 5, 1955",/players/a/armstta01.html
144,Jesse Arnelle,1956,1956,"December 30, 1933",/players/a/arnelje01.html
145,Jay Arnette,1964,1966,"December 19, 1938",/players/a/arnetja01.html
146,Bob Arnzen,1970,1974,"November 3, 1947",/players/a/arnzebo01.html
147,Carlos Arroyo,2002,2011,"July 30, 1979",/players/a/arroyca01.html
148,Darrell Arthur,2009,2018,"March 25, 1988",/players/a/arthuda01.html
149,John Arthurs,1970,1970,"August 15, 1947",/players/a/arthujo01.html
150,Jamel Artis,2018,2018,"January 12, 1993",/players/a/artisja01.html
151,Ömer Aşık,2011,2018,"July 4, 1986",/players/a/asikom01.html
152,Vincent Askew,1988,1998,"February 28, 1966",/players/a/askewvi01.html
153,Keith Askins,1991,1999,"December 15, 1967",/players/a/askinke01.html
154,Don Asmonga,1954,1954,"February 15, 1928",/players/a/asmondo01.html
155,Dick Atha,1956,1958,"September 21, 1931",/players/a/athadi01.html
156,Chucky Atkins,2000,2010,"August 14, 1974",/players/a/atkinch01.html
157,Al Attles*,1961,1971,"November 7, 1936",/players/a/attleal01.html
158,Chet Aubuchon,1947,1947,"May 18, 1916",/players/a/aubucch01.html
159,Stacey Augmon,1992,2006,"August 1, 1968",/players/a/augmost01.html
160,D.J. Augustin,2009,2022,"November 10, 1987",/players/a/augusdj01.html
161,James Augustine,2007,2008,"February 27, 1984",/players/a/augusja01.html
162,Isaac Austin,1992,2002,"August 18, 1969",/players/a/austiis01.html
163,Johnny Austin,1967,1968,"August 31, 1944",/players/a/austijo01.html
164,Ken Austin,1984,1984,"July 15, 1961",/players/a/austike01.html
165,Deni Avdija,2021,2023,"January 3, 2001",/players/a/avdijde01.html
166,Anthony Avent,1993,2000,"October 18, 1969",/players/a/aventan01.html
167,Bird Averitt,1974,1978,"July 22, 1952",/players/a/averibi01.html
168,William Avery,2000,2002,"August 8, 1979",/players/a/averywi01.html
169,Dennis Awtrey,1971,1982,"February 22, 1948",/players/a/awtrede01.html
170,Joel Ayayi,2022,2022,"March 5, 2000",/players/a/ayayijo01.html
171,Gustavo Ayón,2012,2014,"April 1, 1985",/players/a/ayongu01.html
172,Jeff Ayres,2010,2016,"April 29, 1987",/players/p/pendeje02.html
173,Deandre Ayton,2019,2023,"July 23, 1998",/players/a/aytonde01.html
174,Kelenna Azubuike,2007,2012,"December 16, 1983",/players/a/azubuke01.html
175,Udoka Azubuike,2021,2023,"September 17, 1999",/players/a/azubuud01.html
176,Chris Babb,2014,2014,"February 14, 1990",/players/b/babbch01.html
177,Luke Babbitt,2011,2018,"June 20, 1989",/players/b/babbilu01.html
178,Miloš Babić,1991,1992,"November 23, 1968",/players/b/babicmi01.html
179,Johnny Bach,1949,1949,"July 10, 1924",/players/b/bachjo01.html
180,Dwayne Bacon,2018,2021,"August 30, 1995",/players/b/bacondw01.html
181,Henry Bacon,1973,1973,"July 5, 1948",/players/b/baconhe01.html
182,Jim Baechtold,1953,1957,"December 9, 1927",/players/b/baechji01.html
183,Dalibor Bagarić,2001,2003,"February 7, 1980",/players/b/bagarda01.html
184,John Bagley,1983,1994,"April 23, 1960",/players/b/baglejo01.html
185,Marvin Bagley III,2019,2023,"March 14, 1999",/players/b/baglema01.html
186,Carl Bailey,1982,1982,"April 23, 1958",/players/b/baileca01.html
187,Gus Bailey,1975,1980,"February 18, 1951",/players/b/bailegu01.html
188,James Bailey,1980,1988,"May 21, 1957",/players/b/baileja01.html
189,Thurl Bailey,1984,1999,"April 7, 1961",/players/b/baileth01.html
190,Toby Bailey,1999,2000,"November 19, 1975",/players/b/baileto01.html
191,Cameron Bairstow,2015,2016,"December 7, 1990",/players/b/bairsca01.html
192,Jimmie Baker,1976,1976,"December 25, 1953",/players/b/bakerji01.html
193,Mark Baker,1999,1999,"November 11, 1969",/players/b/bakerla01.html
194,Maurice Baker,2005,2005,"July 28, 1979",/players/b/bakerma01.html
195,Norm Baker,1947,1947,"February 17, 1923",/players/b/bakerno01.html
196,Ron Baker,2017,2019,"March 30, 1993",/players/b/bakerro01.html
197,Vin Baker,1994,2006,"November 23, 1971",/players/b/bakervi01.html
198,Patrick Baldwin Jr.,2023,2023,"November 18, 2002",/players/b/baldwpa01.html
199,Wade Baldwin,2017,2019,"March 29, 1996",/players/b/baldwwa01.html
200,Renaldo Balkman,2007,2012,"July 14, 1984",/players/b/balkmre01.html
201,Cedric Ball,1991,1991,"April 16, 1968",/players/b/ballce01.html
202,LaMelo Ball,2021,2023,"August 22, 2001",/players/b/ballla01.html
203,Lonzo Ball,2018,2022,"October 27, 1997",/players/b/balllo01.html
204,Greg Ballard,1978,1989,"January 29, 1955",/players/b/ballagr01.html
205,Herschel Baltimore,1947,1947,"June 21, 1921",/players/b/baltihe01.html
206,Mo Bamba,2019,2023,"May 12, 1998",/players/b/bambamo01.html
207,Paolo Banchero,2023,2023,"November 12, 2002",/players/b/banchpa01.html
208,Desmond Bane,2021,2023,"June 25, 1998",/players/b/banede01.html
209,Gene Banks,1982,1987,"May 15, 1959",/players/b/banksge01.html
210,Marcus Banks,2004,2011,"November 19, 1981",/players/b/banksma01.html
211,Walker Banks,1971,1971,"August 26, 1947",/players/b/bankswa01.html
212,Ken Bannister,1985,1991,"April 1, 1960",/players/b/bannike01.html
213,Mike Bantom,1974,1982,"December 3, 1951",/players/b/bantomi01.html
214,Dalano Banton,2022,2023,"November 7, 1999",/players/b/bantoda01.html
215,Cat Barber,2022,2022,"July 25, 1994",/players/b/barbeca01.html
216,John Barber,1957,1957,"June 27, 1927",/players/b/barbejo01.html
217,Leandro Barbosa,2004,2017,"November 28, 1982",/players/b/barbole01.html
218,Steve Bardo,1992,1996,"April 5, 1968",/players/b/bardost01.html
219,J.J. Barea,2007,2020,"June 26, 1984",/players/b/bareajo01.html
220,Andrea Bargnani,2007,2016,"October 26, 1985",/players/b/bargnan01.html
221,Cliff Barker,1950,1952,"January 15, 1921",/players/b/barkecl01.html
222,Tom Barker,1977,1979,"March 11, 1955",/players/b/barketo01.html
223,Charles Barkley*,1985,2000,"February 20, 1963",/players/b/barklch01.html
224,Erick Barkley,2001,2002,"February 21, 1978",/players/b/barkler01.html
225,Don Barksdale*,1952,1955,"March 31, 1923",/players/b/barksdo01.html
226,Dominick Barlow,2023,2023,"May 26, 2003",/players/b/barlodo01.html
227,Harrison Barnes,2013,2023,"May 30, 1992",/players/b/barneha02.html
228,Harry Barnes,1969,1969,"July 25, 1945",/players/b/barneha01.html
229,Jim Barnes,1965,1971,"April 13, 1941",/players/b/barneji01.html
230,Marvin Barnes,1975,1980,"July 27, 1952",/players/b/barnema01.html
231,Matt Barnes,2004,2017,"March 9, 1980",/players/b/barnema02.html
232,Scottie Barnes,2022,2023,"August 1, 2001",/players/b/barnesc01.html
233,Dick Barnett,1960,1974,"October 2, 1936",/players/b/barnedi01.html
234,Jim Barnett,1967,1977,"July 7, 1944",/players/b/barneji02.html
235,Nate Barnett,1976,1976,"January 29, 1953",/players/b/barnena01.html
236,John Barnhill,1963,1972,"March 20, 1938",/players/b/barnhjo01.html
237,Norton Barnhill,1977,1977,"July 15, 1953",/players/b/barnhno01.html
238,Leo Barnhorst,1950,1954,"May 11, 1924",/players/b/barnhle01.html
239,John Barr,1947,1947,"August 18, 1918",/players/b/barrjo01.html
240,Mike Barr,1973,1977,"October 19, 1950",/players/b/barrmi01.html
241,Moe Barr,1971,1971,"June 19, 1944",/players/b/barrmo01.html
242,Andre Barrett,2005,2008,"February 21, 1982",/players/b/barrean01.html
243,Ernie Barrett,1954,1956,"August 27, 1929",/players/b/barreer01.html
244,Mike Barrett,1970,1973,"September 5, 1943",/players/b/barremi01.html
245,RJ Barrett,2020,2023,"June 14, 2000",/players/b/barrerj01.html
246,Earl Barron,2006,2015,"August 14, 1981",/players/b/barroea01.html
247,Dana Barros,1990,2004,"April 13, 1967",/players/b/barroda01.html
248,Brent Barry,1996,2009,"December 31, 1971",/players/b/barrybr01.html
249,Drew Barry,1998,2000,"February 17, 1973",/players/b/barrydr01.html
250,Jon Barry,1993,2006,"July 25, 1969",/players/b/barryjo01.html
251,Rick Barry*,1966,1980,"March 28, 1944",/players/b/barryri01.html
252,Ed Bartels,1950,1951,"October 8, 1925",/players/b/barteed01.html
253,Vic Bartolome,1972,1972,"September 29, 1948",/players/b/bartovi01.html
254,Will Barton,2013,2023,"January 6, 1991",/players/b/bartowi01.html
255,Eddie Basden,2006,2006,"February 15, 1983",/players/b/basdeed01.html
256,Jerry Baskerville,1976,1976,"November 10, 1951",/players/b/baskeje01.html
257,Brandon Bass,2006,2017,"April 30, 1985",/players/b/bassbr01.html
258,Paris Bass,2022,2022,"August 29, 1995",/players/b/basspa01.html
259,Tim Bassett,1974,1980,"April 1, 1951",/players/b/basseti01.html
260,Charles Bassey,2022,2023,"October 28, 2000",/players/b/bassech01.html
261,Maceo Baston,2003,2009,"May 29, 1975",/players/b/bastoma01.html
262,Mengke Bateer,2002,2004,"November 20, 1975",/players/b/bateeme01.html
263,Billy Ray Bates,1980,1983,"May 31, 1956",/players/b/batesbi01.html
264,Keita Bates-Diop,2019,2023,"January 23, 1996",/players/b/bateske01.html
265,Esteban Batista,2006,2007,"September 2, 1983",/players/b/batises01.html
266,Mike Batiste,2003,2003,"November 21, 1977",/players/b/batismi01.html
267,Tony Battie,1998,2012,"February 11, 1976",/players/b/battito01.html
268,Shane Battier,2002,2014,"September 9, 1978",/players/b/battish01.html
269,John Battle,1986,1995,"November 9, 1962",/players/b/battljo01.html
270,Kenny Battle,1990,1993,"October 10, 1964",/players/b/battlke01.html
271,Dave Batton,1983,1984,"March 26, 1956",/players/b/battoda01.html
272,Lloyd Batts,1975,1975,"May 9, 1951",/players/b/battsll01.html
273,Nicolas Batum,2009,2023,"December 14, 1988",/players/b/batumni01.html
274,Johnny Baum,1970,1974,"June 17, 1946",/players/b/baumjo01.html
275,Frankie Baumholtz,1947,1947,"October 7, 1918",/players/b/baumhfr01.html
276,Lonny Baxter,2003,2006,"January 27, 1979",/players/b/baxtelo01.html
277,Jerryd Bayless,2009,2019,"August 20, 1988",/players/b/bayleje01.html
278,Elgin Baylor*,1959,1972,"September 16, 1934",/players/b/bayloel01.html
279,Howard Bayne,1968,1968,"July 28, 1942",/players/b/bayneho01.html
280,Aron Baynes,2013,2021,"December 9, 1986",/players/b/baynear01.html
281,Sergei Bazarevich,1995,1995,"March 16, 1965",/players/b/bazarse01.html
282,Kent Bazemore,2013,2022,"July 1, 1989",/players/b/bazemke01.html
283,Darius Bazley,2020,2023,"June 12, 2000",/players/b/bazleda01.html
284,Ed Beach,1951,1951,"January 25, 1929",/players/b/beached01.html
285,Bradley Beal,2013,2023,"June 28, 1993",/players/b/bealbr01.html
286,Al Beard,1968,1968,"April 27, 1942",/players/b/beardal01.html
287,Butch Beard,1970,1979,"May 4, 1947",/players/b/beardbu01.html
288,Ralph Beard,1950,1951,"December 2, 1927",/players/b/beardra01.html
289,Charlie Beasley,1968,1971,"September 23, 1945",/players/b/beaslch01.html
290,Jerome Beasley,2004,2004,"May 17, 1980",/players/b/beaslje01.html
291,John Beasley,1968,1974,"February 5, 1944",/players/b/beasljo01.html
292,Malik Beasley,2017,2023,"November 26, 1996",/players/b/beaslma01.html
293,Michael Beasley,2009,2019,"January 9, 1989",/players/b/beaslmi01.html
294,Zelmo Beaty*,1963,1975,"October 25, 1939",/players/b/beatyze01.html
295,Rodrigue Beaubois,2010,2013,"February 24, 1988",/players/b/beaubro01.html
296,MarJon Beauchamp,2023,2023,"October 12, 2000",/players/b/beaucma01.html
297,Byron Beck,1968,1977,"January 25, 1945",/players/b/beckby01.html
298,Corey Beck,1996,1999,"May 27, 1971",/players/b/beckco01.html
299,Ernie Beck,1954,1961,"December 11, 1931",/players/b/becker01.html
300,Art Becker,1968,1973,"January 12, 1942",/players/b/beckear01.html
301,Moe Becker,1947,1947,"February 24, 1917",/players/b/beckemo01.html
302,Bob Bedell,1968,1971,"June 26, 1944",/players/b/bedelbo01.html
303,William Bedford,1987,1993,"December 14, 1963",/players/b/bedfowi01.html
304,Hank Beenders,1947,1949,"June 2, 1916",/players/b/beendha01.html
305,Ron Behagen,1974,1980,"January 14, 1951",/players/b/behagro01.html
306,Elmer Behnke,1952,1952,"February 3, 1929",/players/b/behnkel01.html
307,Marco Belinelli,2008,2020,"March 25, 1986",/players/b/belinma01.html
308,Charlie Bell,2002,2011,"March 12, 1979",/players/b/bellch01.html
309,Dennis Bell,1974,1976,"June 2, 1951",/players/b/bellde01.html
310,Jordan Bell,2018,2022,"January 7, 1995",/players/b/belljo01.html
311,Raja Bell,2001,2012,"September 19, 1976",/players/b/bellra01.html
312,Troy Bell,2004,2004,"November 10, 1980",/players/b/belltr01.html
313,Whitey Bell,1960,1961,"September 13, 1932",/players/b/bellwh01.html
314,Walt Bellamy*,1962,1975,"July 24, 1939",/players/b/bellawa01.html
315,DeAndre' Bembry,2017,2022,"July 4, 1994",/players/b/bembrde01.html
316,Irv Bemoras,1954,1957,"November 18, 1930",/players/b/bemorir01.html
317,Leon Benbow,1975,1976,"July 23, 1950",/players/b/benbole01.html
318,Dragan Bender,2017,2020,"November 17, 1997",/players/b/bendedr01.html
319,Jonathan Bender,2000,2010,"January 30, 1981",/players/b/bendejo01.html
320,Jerrelle Benimon,2015,2015,"August 1, 1991",/players/b/benimje01.html
321,Benoit Benjamin,1986,2000,"November 22, 1964",/players/b/benjabe01.html
322,Corey Benjamin,1999,2003,"February 24, 1978",/players/b/benjaco01.html
323,Anthony Bennett,2014,2017,"March 14, 1993",/players/b/bennean01.html
324,Elmer Bennett,1995,1997,"February 13, 1970",/players/b/benneel01.html
325,Mario Bennett,1996,2000,"August 1, 1973",/players/b/bennema01.html
326,Mel Bennett,1976,1982,"January 4, 1955",/players/b/benneme01.html
327,Spider Bennett,1969,1969,"August 4, 1943",/players/b/bennesp01.html
328,Tony Bennett,1993,1995,"June 1, 1969",/players/b/benneto01.html
329,Winston Bennett,1990,1992,"February 9, 1965",/players/b/bennewi01.html
330,David Benoit,1992,2001,"May 9, 1968",/players/b/benoida01.html
331,Keith Benson,2012,2012,"August 13, 1988",/players/b/bensoke02.html
332,Kent Benson,1978,1988,"December 27, 1954",/players/b/bensoke01.html
333,Ben Bentil,2017,2017,"March 29, 1995",/players/b/bentibe01.html
334,Gene Berce,1950,1950,"November 22, 1926",/players/b/bercege01.html
335,Gary Bergen,1957,1957,"July 16, 1932",/players/b/bergega01.html
336,Larry Bergh,1970,1970,"April 2, 1945",/players/b/berghla01.html
337,Ricky Berry,1989,1989,"October 6, 1964",/players/b/berryri01.html
338,Walter Berry,1987,1989,"May 14, 1964",/players/b/berrywa01.html
339,Dairis Bertāns,2019,2019,"September 9, 1989",/players/b/bertada02.html
340,Dāvis Bertāns,2017,2023,"November 12, 1992",/players/b/bertada01.html
341,Del Beshore,1979,1980,"November 29, 1956",/players/b/beshode01.html
342,Travis Best,1996,2005,"July 12, 1972",/players/b/besttr01.html
343,Patrick Beverley,2013,2023,"July 12, 1988",/players/b/beverpa01.html
344,Saddiq Bey,2021,2023,"April 9, 1999",/players/b/beysa01.html
345,Tyler Bey,2021,2021,"February 10, 1998",/players/b/beyty01.html
346,Sim Bhullar,2015,2015,"December 2, 1992",/players/b/bhullsi01.html
347,Wes Bialosuknia,1968,1968,"June 8, 1945",/players/b/bialowe01.html
348,Al Bianchi,1957,1966,"March 26, 1932",/players/b/biancal01.html
349,Hank Biasatti,1947,1947,"January 14, 1922",/players/b/biasaha01.html
350,Henry Bibby,1973,1981,"November 24, 1949",/players/b/bibbyhe01.html
351,Mike Bibby,1999,2012,"May 13, 1978",/players/b/bibbymi01.html
352,Ed Biedenbach,1969,1969,"August 12, 1945",/players/b/biedeed01.html
353,Andris Biedriņš,2005,2014,"April 2, 1986",/players/b/biedran01.html
354,Don Bielke,1956,1956,"May 10, 1932",/players/b/bielkdo01.html
355,Bob Bigelow,1976,1979,"December 26, 1953",/players/b/bigelbo01.html
356,Lionel Billingy,1975,1975,"August 31, 1952",/players/b/billili01.html
357,Chauncey Billups,1998,2014,"September 25, 1976",/players/b/billuch01.html
358,Dave Bing*,1967,1978,"November 24, 1943",/players/b/bingda01.html
359,Joe Binion,1987,1987,"March 26, 1961",/players/b/biniojo01.html
360,Khem Birch,2018,2023,"September 28, 1992",/players/b/birchkh01.html
361,Jabari Bird,2018,2018,"July 3, 1994",/players/b/birdja01.html
362,Jerry Bird,1959,1959,"February 2, 1935",/players/b/birdje01.html
363,Larry Bird*,1980,1992,"December 7, 1956",/players/b/birdla01.html
364,Otis Birdsong,1978,1989,"December 9, 1955",/players/b/birdsot01.html
